Aileron;Elevator;Rudder;Throttle;Roll;Pitch;Yaw;Altitude
0,000853822;0,006685469;0,002171577;0,8955;-6,8441796;1,6561224;197,51886;2651,9841
0,000783656;0,005880535;0,00116514;0,89324999;-6,8790522;1,6316813;197,44641;2652,0122
0,000723939;0,005078261;0,000204465;0,89128125;-6,9151897;1,6091959;197,37979;2652,0396
0,000837201;0,00650841;0,001944916;0,89497268;-6,9516153;1,5889964;197,3196;2652,0667
0,000851736;0,006663746;0,002143562;0,89543408;-6,9881487;1,5709329;197,26495;2652,0938
0,00085355;0,006682755;0,002168074;0,89549172;-7,0247684;1,5549959;197,21553;2652,1211
0,000853788;0,008164146;0,002171134;0,89549893;-7,0608602;1,5413785;197,17166;2652,1484
0,000853805;0,010290221;0,002171514;0,89549983;-7,0954952;1,5301871;197,13341;2652,1755
0,000853822;0,012355924;0,002171564;0,8955;-7,1276045;1,5214057;197,10056;2652,2024
0,000732385;0,023097025;0,002171577;0,8955;-7,1552777;1,5148976;197,0723;2652,2295
0,000820689;0,047322106;0,002171577;0,8955;-7,1734219;1,5108309;197,04887;2652,2566
0,002186418;0,069736227;0,002171577;0,8955;-7,1711869;1,5095143;197,02972;2652,2842
0,003859709;0,072766893;0,002171577;0,8955;-7,14607;1,5113679;197,0146;2652,3123
0,004362992;0,073149078;0,002171577;0,8955;-7,1027899;1,5165899;197,00369;2652,3396
0,004427343;0,073196933;0,002171577;0,8955;-7,0453534;1,5250522;196,99658;2652,3669
0,004435391;0,072750591;0,002171577;0,8955;-6,9767046;1,5364034;196,99303;2652,394
0,004436419;0,068452224;0,002171577;0,8955;-6,9014812;1,5503198;196,99269;2652,4209
0,001193224;0,040757839;0,002171577;0,8955;-6,8280907;1,5661711;196,99548;2652,4473
0,00089415;0,008842786;0,002171577;0,8955;-6,7669163;1,5830053;197,00128;2652,4739
0,000788525;0,00573248;0,00116514;0,89324999;-6,7243032;1,6006706;197,01009;2652,5
0,000827898;0,006381958;0,00180615;0,89465624;-6,6964226;1,6192968;197,02182;2652,5269
0,000850567;0,00664869;0,002126712;0,8953945;-6,679863;1,6384175;197,03613;2652,5535
0,000853415;0,006680883;0,002165974;0,89548677;-6,6715097;1,6580049;197,05281;2652,5801
0,000853771;0,006684891;0,002170869;0,89549834;-6,669137;1,677899;197,07159;2652,6064
0,000853805;0,006685391;0,002171488;0,89549977;-6,6710572;1,6979957;197,09218;2652,6331
0,000853822;0,00668546;0,002171564;0,89549994;-6,6760807;1,7184228;197,11461;2652,6599
0,000853822;0,006685469;0,002171577;0,8955;-6,6833019;1,7391107;197,13869;2652,6865
0,000853822;0,006685469;0,002171577;0,8955;-6,6919975;1,759885;197,16409;2652,7134
0,000853822;0,006685469;0,002171577;0,8955;-6,7016268;1,7807062;197,19066;2652,7405
